subject,predicate,object,start_date,end_date
Portuguese expedition to Senegal,participant,Kingdom of Portugal,1487-01-01,1487-01-01
Siege of Graciosa,participant,Kingdom of Portugal,1489-07-01,1489-09-05
First Luso-Malabarese War,participant,Kingdom of Portugal,1500-12-28,1514-01-03
Battle of Tangier,participant,Portuguese Empire,1502-01-01,1502-01-01
Battle of Pandarane,participant,Portuguese Empire,1504-01-01,1504-01-01
Baloch–Portuguese conflicts,participant,Kingdom of Portugal,1505-01-01,1619-01-01
Mamluk–Portuguese conflicts,participant,Kingdom of Portugal,1505-03-26,1517-02-05
Portuguese expedition to Sofala,participant,Kingdom of Portugal,1505-05-28,1507-01-01
Battle of Mombasa,participant,Portuguese Empire,1505-08-25,1505-08-25
Adil Shahi–Portuguese conflicts,participant,Portuguese Empire,1506-03-11,1659-01-01
Siege of Anjadiva,participant,Portuguese Empire,1506-03-11,1506-03-26
Battle of Socotra,participant,Portuguese Empire,1507-01-01,1507-01-01
Portuguese–Safavid wars,participant,Portuguese Empire,1507-01-01,1625-01-01
Capture of Muscat,participant,Kingdom of Portugal,1507-01-01,1507-01-01
Capture of Qurayyat,participant,Kingdom of Portugal,1507-08-28,1507-08-28
Battle of Chaul,participant,Kingdom of Portugal,1508-03-01,1508-03-01
Siege of Asilah,participant,Kingdom of Portugal,1508-10-29,1508-11-02
Malay-Portuguese War,participant,Portuguese Empire,1509-01-01,1641-01-01
Portuguese-Turkish War,participant,Portuguese Empire,1509-01-01,1509-01-01
Battle of Dabul,participant,Portuguese Empire,1509-01-08,1509-01-08
Battle of Cape Finisterre,participant,Kingdom of Portugal,1509-01-28,1509-01-28
Battle of Diu,participant,Portugal,1509-02-03,1509-02-03
Battle of Salt River,participant,Portuguese Empire,1510-03-11,1510-03-11
Capture of Castelo Real,participant,Portuguese Empire,1510-11-01,1510-11-01
Capture of Malacca,participant,Portuguese Empire,1511-08-04,1511-08-25
Demak–Portuguese conflicts,participant,Kingdom of Portugal,1512-01-01,1527-01-01
Capture of Banastharim,participant,Kingdom of Portugal,1512-01-01,1512-11-28
Battle of Malacca,participant,Kingdom of Portugal,1513-01-01,1513-01-01
Siege of Aden,participant,Portuguese Empire,1513-04-05,1513-04-05
Battle of Tednest,participant,Portuguese Empire,1514-01-01,1514-01-01
Battle of the Alcaides,participant,Kingdom of Portugal,1514-01-01,1514-01-01
Portuguese intervention in Hormuz,participant,Kingdom of Portugal,1514-01-01,1515-01-01
Igala–Benin War,participant,Portuguese Empire,1515-01-01,1516-01-01
Portuguese invasion of Couto Misto,participant,Kingdom of Portugal,1517-01-01,1518-01-01
Siege of Jeddah,participant,Portuguese Empire,1517-04-22,1517-04-22
Battle of Zeila,participant,Portuguese Empire,1517-07-01,1517-07-01
Siege of Goa,participant,Portuguese Empire,1517-07-01,1517-09-01
Acehnese–Portuguese conflicts,participant,Portuguese Empire,1519-01-01,1639-01-01
Maldivian–Portuguese conflicts,participant,Kingdom of Portugal,1521-01-01,1650-01-01
First Battle of Tamao,participant,Portugal,1521-01-01,1521-01-01
Portuguese invasion of Bahrain,participant,Portuguese Empire,1521-01-01,1521-01-01
Attack on Bintan,participant,Portuguese Empire,1521-10-01,1521-10-01
Luso–Bijapuri War,participant,Portuguese Empire,1523-01-01,1524-01-01
Expedition to Kamaran,participant,Portuguese Empire,1523-01-01,1523-01-01
Battle of al-Shihr,participant,Portuguese Empire,1523-03-07,1523-03-07
Siege of Benambre,participant,Kingdom of Portugal,1527-07-19,1527-07-19
Malay-Acehnese conflicts,participant,Portuguese Empire,1528-01-01,1629-01-01
Battle of Mombasa,participant,Portuguese Empire,1528-01-01,1528-01-01
Battle of Aceh,participant,Portuguese Empire,1528-04-01,1528-04-01
Ethiopian–Adal War,participant,Portuguese Empire,1529-01-01,1543-01-01
Siege of Bahrain,participant,Portuguese Empire,1529-09-30,1529-10-14
Ternatean–Portuguese conflicts,participant,Portuguese Empire,1530-01-01,1605-01-01
Siege of Agadir,participant,Kingdom of Portugal,1533-04-01,1533-03-01
Iguape War,participant,Kingdom of Portugal,1534-01-01,1536-01-01
Battle of Reishahr,participant,Portuguese Empire,1534-04-01,1534-04-01
Battle of Malacca,participant,Portuguese Empire,1534-05-01,1534-05-01
Mughal–Portuguese conflicts,participant,Portuguese Empire,1535-01-01,1693-01-01
Conquest of Tunis,participant,Kingdom of Portugal,1535-06-26,1535-07-31
Battle of Ugentana,participant,Portuguese Empire,1536-01-01,1536-01-01
Battle of Tidore,participant,Portuguese Empire,1536-12-31,1536-12-31
Ottoman–Portuguese conflicts of 1538–1560,participant,Portuguese Empire,1538-01-01,1557-01-01
Ottoman–Portuguese confrontations,participant,Portuguese Empire,1538-01-01,1718-01-01
Battle of Beadala,participant,Portuguese Empire,1538-02-28,1538-03-02
Siege of Diu,participant,Portuguese Empire,1538-08-01,1538-11-01
Burmese–Portuguese conflicts,participant,Kingdom of Portugal,1539-01-01,1666-01-01
Battle of Suakin,participant,Portuguese Empire,1541-01-01,1541-01-01
Battle of El Tor,participant,Portuguese Empire,1541-01-01,1541-01-01
Battle of Massawa,participant,Portuguese Empire,1541-05-01,1541-05-01
Battle of Baçente,participant,Portuguese Empire,1542-02-12,1542-02-12
Battle of Jarte,participant,Portuguese Empire,1542-04-14,1542-04-26
Battle of the Hill of the Jews,participant,Portuguese Empire,1542-08-01,1542-08-01
Battle of Wofla,participant,Portuguese Empire,1542-09-07,1542-09-07
Siege of Campar,participant,Kingdom of Portugal,1543-01-01,1543-01-01
Battle of Wayna Daga,participant,Portuguese Empire,1543-03-03,1543-03-03
Vitthala's Invasion of Fishery Coast,participant,Portuguese Empire,1544-01-01,1544-01-01
Attack on Jailolo,participant,Portuguese Empire,1545-11-01,1545-11-01
Luso–Bijapuri War,participant,Portuguese Empire,1547-01-01,1548-09-01
Battle of Perlis River,participant,Portuguese Empire,1547-12-16,1547-12-16
Capture of Aden,participant,Portuguese Empire,1548-03-07,1548-03-07
Battle of al-Shihr,participant,Portuguese Empire,1548-04-17,1548-04-17
Battle of Vedalai,participant,Portuguese Empire,1549-01-01,1549-01-01
Battle of Bab al-Mandab,participant,Portuguese Empire,1551-01-01,1551-01-01
Siege of Malacca,participant,Portuguese Empire,1551-06-01,1551-09-01
Siege of Qatif,participant,Portuguese Empire,1551-07-01,1551-07-01
Ottoman campaign against Hormuz,participant,Portuguese Empire,1552-01-01,1554-01-01
Capture of Muscat,participant,Portuguese Empire,1552-08-01,1552-08-01
Siege of Hormuz,participant,Portuguese Empire,1552-09-01,1552-09-01
Battle of Punnaikayal,participant,Portuguese Empire,1553-01-01,1553-01-01
Battle of the Bay of Velez,participant,Kingdom of Portugal,1553-07-15,1553-07-15
Battle of the Strait of Hormuz,participant,Portuguese Empire,1553-08-01,1553-08-01
Battle of the Gulf of Oman,participant,Portuguese Empire,1554-08-20,1554-09-04
Luso–Bijapuri War,participant,Portuguese Empire,1555-01-01,1557-01-01
Siege of Santhome,participant,Portuguese Empire,1558-01-01,1558-01-01
Siege of Cannanore,participant,Kingdom of Portugal,1559-01-01,1559-01-01
Battle of Kamaran,participant,Portuguese Empire,1560-01-01,1560-01-01
